year,Africa,Americas,Asia,Europe,Oceania
1952,237640501,345152446,1395357351,418120846,10686006
1957,264837738,386953916,1562780599,437890351,11941976
1962,296516865,433270254,1696357182,460355155,13283518
1967,335289489,480746623,1905662900,481178958,14600414
1972,379879541,529384210,2150972248,500635059,16106100
1977,433061021,578067699,2384513556,517164531,17239000
1982,499348587,630290920,2610135582,531266901,18394850
1987,574834110,682753971,2871220762,543094160,19574415
1992,659081517,739274104,3133292191,558142797,20919651
1997,743832984,796900410,3383285500,568944148,22241430
2002,833723916,849772762,3601802203,578223869,23454829
2007,929539692,898871184,3811953827,586098529,24549947
